what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445956301433
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1445956340215
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1445956342200
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1445956401111
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1445956402540
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1445956451695
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1445956454097
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1445956456193
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1445956511805
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445956531231
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445956576209
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1445956578937
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1445956583213
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1445956588393
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1445956594454
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1445956596833
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1445956604129
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445956616040
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445956645994
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1445956651576
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445956656081
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445956662092
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445956665040
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445956671450
activated,editor,rcs.rtpl.xtext.esterel2012.ui,1.0.4,"rcs.rtpl.xtext.esterel2012.Esterel",1445956671607
